Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6Xxzo80NVZRMNIy3AyWtKC,"Workin (feat. Travis Scott & Big Sean)","MMM","Diddy,Travis Scott,Big Sean",2015-12-18,260453,30,9gawsqi088oaqvjoj72n0mhab,2023-10-01T00:21:36Z,"dance pop,east coast hip hop,hip hop,hip pop,pop rap,rap,slap house,detroit hip hop,r&b,southern hip hop,trap","Bad Boy Entertainment",0.715,0.499,1,-6.48,1,0.118,0.0136,0,0.477,0.25,98.059,4
04QJWGv98RZSE4lBOttx5A,"Last Time (feat. Travis Scott)","Last Time (feat. Travis Scott)","Gucci Mane,Travis Scott",2016-09-02,251059,37,9gawsqi088oaqvjoj72n0mhab,2023-10-01T00:23:34Z,"atl hip hop,dirty south rap,hip hop,pop rap,rap,southern hip hop,trap,slap house","Guwop Enterprises/Atlantic",0.772,0.626,5,-6.354,0,0.0403,0.0534,0,0.204,0.295,137.82,4
1DRW9bQzt2SE8f7H4KJZyL,"Sky Walker (feat. Travis Scott)","Sky Walker (feat. Travis Scott)","Miguel,Travis Scott",2017-08-25,260077,40,9gawsqi088oaqvjoj72n0mhab,2023-10-01T00:23:34Z,"r&b,urban contemporary,rap,slap house","ByStorm Entertainment/RCA Records",0.629,0.717,6,-5.706,1,0.0638,0.0876,0,0.358,0.129,145.959,4
6HdVpbKJtp4EDpfli4fcOm,"Krippy Kush (feat. Travis Scott & Rvssian) - Travis Scott Remix","Krippy Kush (feat. Travis Scott & Rvssian) [Travis Scott Remix]","Farruko,Nicki Minaj,Bad Bunny,Travis Scott,Rvssian",2017-12-25,236953,42,9gawsqi088oaqvjoj72n0mhab,2023-10-01T00:23:34Z,"reggaeton,trap latino,urbano latino,hip pop,pop,queens hip hop,rap,slap house,reggaeton flow","Sony Music Latin",0.741,0.679,9,-4.932,1,0.127,0.0862,0,0.112,0.513,163.097,4
0NhG8Aj4PjKVnVvYAI2jhH,"Lithuania","Detroit 2: Spirit","Big Sean,Travis Scott",2020-11-06,199250,17,9gawsqi088oaqvjoj72n0mhab,2023-10-01T00:26:08Z,"detroit hip hop,hip hop,pop rap,r&b,rap,southern hip hop,trap,slap house","UME - Global Clearing House",0.676,0.82,7,-5.217,1,0.0554,0.0493,0,0.615,0.618,152.028,4
0tPShxf8VJUH6RBDEP3tVB,"Bake Sale (feat. Travis Scott)","Bake Sale (feat. Travis Scott)","Wiz Khalifa,Travis Scott",2016-01-22,238533,43,9gawsqi088oaqvjoj72n0mhab,2023-10-01T00:26:12Z,"hip hop,pittsburgh rap,pop rap,rap,southern hip hop,trap,slap house","Rostrum/Atlantic",0.864,0.551,3,-5.198,1,0.22,0.144,0,0.104,0.38,139.934,4
2pnmbotVgXnPr9xRZl5ZeA,"Money Go","Another Day In Paradise","Belly,Travis Scott",2016-05-27,216293,32,9gawsqi088oaqvjoj72n0mhab,2023-10-01T00:26:15Z,"canadian hip hop,canadian trap,rap,slap house","Belly/Roc Nation",0.828,0.514,10,-5.946,0,0.377,0.744,0,0.119,0.52,114.931,4
0AU50oV3ypRPSxXqpmFGSd,"I'm Fine (feat. Travis Scott)","No Dope On Sundays","CyHi,Travis Scott",2017-11-17,306560,0,9gawsqi088oaqvjoj72n0mhab,2023-10-01T00:26:24Z,"atl hip hop,rap,slap house","Brooklyn Knights/RED MUSIC/Sony Music Entertainment",0.658,0.83,1,-4.566,1,0.078,0.0516,0,0.282,0.479,120.944,4
2oFdrFpXDgPcszmfWaKboI,"Texas Cyclone","Sauce Ghetto Gospel 2","Sauce Walka,Travis Scott",2019-12-06,132071,51,9gawsqi088oaqvjoj72n0mhab,2023-10-01T00:28:52Z,"houston rap,memphis hip hop,trap,rap,slap house","The Sauce Familia",0.746,0.64,7,-4.466,1,0.0403,0.0638,0,0.195,0.364,135.957,4
4dI2Mqmz4YSlExCtIgdM0R,"I'm Leanin'","Dreamchasers 3","Meek Mill,Travis Scott,Diddy,Birdman",2013-09-29,224280,31,9gawsqi088oaqvjoj72n0mhab,2023-10-01T00:30:12Z,"hip hop,philly rap,pop rap,rap,southern hip hop,trap,slap house,dance pop,east coast hip hop,hip pop,dirty south rap","Meek Mill",0.639,0.648,2,-8.176,1,0.282,0.026,0,0.168,0.255,119.966,4
16w1BlesFiMKObvfVewDmm,"No English (feat. Travis Scott)","Rubba Band Business","Juicy J,Travis Scott",2017-12-08,241826,24,9gawsqi088oaqvjoj72n0mhab,2023-10-01T00:31:12Z,"crunk,memphis hip hop,pop rap,rap,southern hip hop,trap,slap house","Columbia",0.804,0.566,10,-8.06,0,0.209,0.00529,0.0000196,0.633,0.462,138.007,4
4pM4yFNLj3pTiNXOZsWYxf,"Dangerous World (feat. Travis Scott & YG)","Dangerous World (feat. Travis Scott & YG)","Mustard,Travis Scott,YG",2018-08-17,165123,45,9gawsqi088oaqvjoj72n0mhab,2023-10-01T00:31:18Z,"cali rap,pop rap,rap,southern hip hop,trap,slap house,hip hop","10 Summers / Interscope PS",0.812,0.586,4,-6.505,0,0.0654,0.0735,0,0.106,0.323,100.062,4
6dWf1xaHOmJo7eL9WuSkdL,"Goosebumps","The Hate U Give (Original Motion Picture Soundtrack)","Travis Scott,Kendrick Lamar",2018-10-12,243840,58,9gawsqi088oaqvjoj72n0mhab,2023-10-01T00:31:21Z,"rap,slap house,conscious hip hop,hip hop,west coast rap","Def Jam Recordings",0.849,0.629,7,-6.27,1,0.0475,0.0795,0,0.13,0.467,130.103,4
0IcsZ3imvdiWAnXICQdjXD,"Night Riders","Peace Is The Mission (Extended)","Major Lazer,Travis Scott,2 Chainz,Pusha T,Mad Cobra",2015-11-27,233333,26,9gawsqi088oaqvjoj72n0mhab,2023-10-01T00:31:25Z,"dance pop,edm,electro house,moombahton,pop,pop dance,rap,slap house,atl hip hop,hip hop,pop rap,southern hip hop,trap,gangster rap,virginia hip hop,dancehall,old school dancehall,reggae fusion","Third Pardee Records",0.63,0.888,11,-2.388,0,0.0995,0.0761,0.00000194,0.26,0.561,141.019,4
3BN86m6Dl6hYgOj2qo1gAg,"3 Wayz (feat. Travis Scott)","Campaign","Ty Dolla $ign,Travis Scott",2016-09-23,221548,38,9gawsqi088oaqvjoj72n0mhab,2023-10-01T00:31:43Z,"hip hop,pop rap,r&b,southern hip hop,trap,trap soul,rap,slap house","Atlantic Records",0.778,0.405,11,-8.762,0,0.0656,0.112,0,0.104,0.0605,120.981,4
